0,1,2,3,4,5,6,LABEL
3329,332,33,30-3499,00-9999,,,PROCEDURES
4386,438,430-43899,390-45999,001-99999,,,DISEASES AND INJURIES
7787,778,764-77999,760-77999,001-99999,,,DISEASES AND INJURIES
63411,6341,634,634-63999,630-67999,001-99999,,DISEASES AND INJURIES
7924,792,79,76-8499,00-9999,,,PROCEDURES
28861,2886,288,280-28999,001-99999,,,DISEASES AND INJURIES
1281,128,120-12999,001-13999,001-99999,,,DISEASES AND INJURIES
71924,7192,719,710-71999,710-73999,001-99999,,DISEASES AND INJURIES
8194,819,81,76-8499,00-9999,,,PROCEDURES
37402,3740,374,360-37999,320-38999,001-99999,,DISEASES AND INJURIES
0392,039,03,01-0599,00-9999,,,PROCEDURES
01624,0162,016,010-01899,001-13999,001-99999,,DISEASES AND INJURIES
V291,V29,V20-V2999,V01-V9199,,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
04522,0452,045,045-04999,001-13999,001-99999,,DISEASES AND INJURIES
1917,191,190-19999,140-23999,001-99999,,,DISEASES AND INJURIES
99559,9955,995,990-99599,800-99999,001-99999,,DISEASES AND INJURIES
E8715,E871,E870-E8769,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
E8713,E871,E870-E8769,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
9220,922,92,87-9999,00-9999,,,PROCEDURES
65340,6534,653,650-65999,630-67999,001-99999,,DISEASES AND INJURIES
92710,9271,927,925-92999,800-99999,001-99999,,DISEASES AND INJURIES
25802,2580,258,249-25999,240-27999,001-99999,,DISEASES AND INJURIES
56210,5621,562,560-56999,520-57999,001-99999,,DISEASES AND INJURIES
V6289,V628,V62,V60-V6999,V01-V9199,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
8302,830,83,76-8499,00-9999,,,PROCEDURES
E8307,E830,E830-E8389,E800-E8489,E000-E9999,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
1263,126,120-12999,001-13999,001-99999,,,DISEASES AND INJURIES
66992,6699,669,660-66999,630-67999,001-99999,,DISEASES AND INJURIES
75535,7553,755,740-75999,001-99999,,,DISEASES AND INJURIES
78930,7893,789,780-78999,780-79999,001-99999,,"SYMPTOMS, SIGNS, AND ILL-DEFINED CONDITIONS"
5238,523,520-52999,520-57999,001-99999,,,DISEASES AND INJURIES
E0039,E003,E001-E0309,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
1948,194,190-19999,140-23999,001-99999,,,DISEASES AND INJURIES
1609,160,160-16599,140-23999,001-99999,,,DISEASES AND INJURIES
8181,818,81,76-8499,00-9999,,,PROCEDURES
8362,836,83,76-8499,00-9999,,,PROCEDURES
0501,050,050-05999,001-13999,001-99999,,,DISEASES AND INJURIES
75232,7523,752,740-75999,001-99999,,,DISEASES AND INJURIES
30112,3011,301,300-31699,290-31999,001-99999,,DISEASES AND INJURIES
7479,747,740-75999,001-99999,,,,DISEASES AND INJURIES
9025,902,90,87-9999,00-9999,,,PROCEDURES
65370,6537,653,650-65999,630-67999,001-99999,,DISEASES AND INJURIES
66994,6699,669,660-66999,630-67999,001-99999,,DISEASES AND INJURIES
67183,6718,671,670-67799,630-67999,001-99999,,DISEASES AND INJURIES
V6443,V644,V64,V60-V6999,V01-V9199,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
37926,3792,379,360-37999,320-38999,001-99999,,DISEASES AND INJURIES
81391,8139,813,810-81999,800-82999,800-99999,001-99999,DISEASES AND INJURIES
04103,0410,041,030-04199,001-13999,001-99999,,DISEASES AND INJURIES
04105,0410,041,030-04199,001-13999,001-99999,,DISEASES AND INJURIES
85182,8518,851,850-85499,800-99999,001-99999,,DISEASES AND INJURIES
20008,2000,200,200-20899,140-23999,001-99999,,DISEASES AND INJURIES
30531,3053,305,300-31699,290-31999,001-99999,,DISEASES AND INJURIES
8079,807,80,76-8499,00-9999,,,PROCEDURES
8413,841,840-84899,800-99999,001-99999,,,DISEASES AND INJURIES
0475,047,04,01-0599,00-9999,,,PROCEDURES
17329,1732,173,170-17699,140-23999,001-99999,,DISEASES AND INJURIES
64240,6424,642,640-64999,630-67999,001-99999,,DISEASES AND INJURIES
6069,606,60,60-6499,00-9999,,,PROCEDURES
9105,910,91,87-9999,00-9999,,,PROCEDURES
74405,7440,744,740-75999,001-99999,,,DISEASES AND INJURIES
4551,455,451-45999,390-45999,001-99999,,,DISEASES AND INJURIES
80173,8017,801,800-80499,800-82999,800-99999,001-99999,DISEASES AND INJURIES
5411,541,54,42-5499,00-9999,,,PROCEDURES
43820,4382,438,430-43899,390-45999,001-99999,,DISEASES AND INJURIES
80175,8017,801,800-80499,800-82999,800-99999,001-99999,DISEASES AND INJURIES
E8114,E811,E810-E8199,E800-E8489,E000-E9999,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
3083,308,300-31699,290-31999,001-99999,,,DISEASES AND INJURIES
25201,2520,252,249-25999,240-27999,001-99999,,DISEASES AND INJURIES
V735,V73,V70-V8299,V01-V9199,,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
80506,8050,805,805-80999,800-82999,800-99999,001-99999,DISEASES AND INJURIES
E8221,E822,E820-E8259,E800-E8489,E000-E9999,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
71963,7196,719,710-71999,710-73999,001-99999,,DISEASES AND INJURIES
83901,8390,839,830-83999,800-99999,001-99999,,DISEASES AND INJURIES
66081,6608,660,660-66999,630-67999,001-99999,,DISEASES AND INJURIES
V1552,V155,V15,V10-V1999,V01-V9199,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
66083,6608,660,660-66999,630-67999,001-99999,,DISEASES AND INJURIES
7800,780,78,76-8499,00-9999,,,PROCEDURES
20890,2089,208,200-20899,140-23999,001-99999,,DISEASES AND INJURIES
4130,413,410-41499,390-45999,001-99999,,,DISEASES AND INJURIES
9994,999,99,87-9999,00-9999,,,PROCEDURES
72783,7278,727,725-72999,710-73999,001-99999,,DISEASES AND INJURIES
4679,467,46,42-5499,00-9999,,,PROCEDURES
04082,0408,040,030-04199,001-13999,001-99999,,DISEASES AND INJURIES
36281,3628,362,360-37999,320-38999,001-99999,,DISEASES AND INJURIES
67514,6751,675,670-67799,630-67999,001-99999,,DISEASES AND INJURIES
E9936,E993,E990-E9999,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
4441,444,440-44999,390-45999,001-99999,,,DISEASES AND INJURIES
4243,424,420-42999,390-45999,001-99999,,,DISEASES AND INJURIES
64762,6476,647,640-64999,630-67999,001-99999,,DISEASES AND INJURIES
20038,2003,200,200-20899,140-23999,001-99999,,DISEASES AND INJURIES
4583,458,45,42-5499,00-9999,,,PROCEDURES
7984,798,79,76-8499,00-9999,,,PROCEDURES
74720,7472,747,740-75999,001-99999,,,DISEASES AND INJURIES
E8880,E888,E880-E8889,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
28260,2826,282,280-28999,001-99999,,,DISEASES AND INJURIES
28262,2826,282,280-28999,001-99999,,,DISEASES AND INJURIES
E9502,E950,E950-E9599,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
E8548,E854,E850-E8589,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
2106,210,21,21-2999,00-9999,,,PROCEDURES
9772,977,960-97999,800-99999,001-99999,,,DISEASES AND INJURIES
38425,3842,384,380-38999,320-38999,001-99999,,DISEASES AND INJURIES
52519,5251,525,520-52999,520-57999,001-99999,,DISEASES AND INJURIES
7769,776,764-77999,760-77999,001-99999,,,DISEASES AND INJURIES
E9500,E950,E950-E9599,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
2109,210,21,21-2999,00-9999,,,PROCEDURES
3941,394,39,35-3999,00-9999,,,PROCEDURES
V500,V50,V50-V5999,V01-V9199,,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
25513,2551,255,249-25999,240-27999,001-99999,,DISEASES AND INJURIES
V625,V62,V60-V6999,V01-V9199,,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
9997,999,99,87-9999,00-9999,,,PROCEDURES
52340,5234,523,520-52999,520-57999,001-99999,,DISEASES AND INJURIES
66393,6639,663,660-66999,630-67999,001-99999,,DISEASES AND INJURIES
8691,869,86,85-8699,00-9999,,,PROCEDURES
81010,8101,810,810-81999,800-82999,800-99999,001-99999,DISEASES AND INJURIES
6761,676,67,65-7199,00-9999,,,PROCEDURES
9813,981,98,87-9999,00-9999,,,PROCEDURES
80485,8048,804,800-80499,800-82999,800-99999,001-99999,DISEASES AND INJURIES
V5867,V586,V58,V50-V5999,V01-V9199,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
V5865,V586,V58,V50-V5999,V01-V9199,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
92421,9242,924,920-92499,800-99999,001-99999,,DISEASES AND INJURIES
9754,975,960-97999,800-99999,001-99999,,,DISEASES AND INJURIES
403,40,40-4199,00-9999,,,,PROCEDURES
7421,742,740-75999,001-99999,,,,DISEASES AND INJURIES
66414,6641,664,660-66999,630-67999,001-99999,,DISEASES AND INJURIES
4468,446,44,42-5499,00-9999,,,PROCEDURES
71847,7184,718,710-71999,710-73999,001-99999,,DISEASES AND INJURIES
7869,786,78,76-8499,00-9999,,,PROCEDURES
7534,753,740-75999,001-99999,,,,DISEASES AND INJURIES
24991,2499,249,249-25999,240-27999,001-99999,,DISEASES AND INJURIES
73620,7362,736,730-73999,710-73999,001-99999,,DISEASES AND INJURIES
85220,8522,852,850-85499,800-99999,001-99999,,DISEASES AND INJURIES
55003,5500,550,550-55399,520-57999,001-99999,,DISEASES AND INJURIES
55001,5500,550,550-55399,520-57999,001-99999,,DISEASES AND INJURIES
45183,4518,451,451-45999,390-45999,001-99999,,DISEASES AND INJURIES
1629,162,160-16599,140-23999,001-99999,,,DISEASES AND INJURIES
80343,8034,803,800-80499,800-82999,800-99999,001-99999,DISEASES AND INJURIES
4592,459,451-45999,390-45999,001-99999,,,DISEASES AND INJURIES
71211,7121,712,710-71999,710-73999,001-99999,,DISEASES AND INJURIES
8172,817,81,76-8499,00-9999,,,PROCEDURES
78606,7860,786,780-78999,780-79999,001-99999,,"SYMPTOMS, SIGNS, AND ILL-DEFINED CONDITIONS"
247,24,21-2999,00-9999,,,,PROCEDURES
11504,1150,115,110-11899,001-13999,001-99999,,DISEASES AND INJURIES
99580,9958,995,990-99599,800-99999,001-99999,,DISEASES AND INJURIES
65570,6557,655,650-65999,630-67999,001-99999,,DISEASES AND INJURIES
36973,3697,369,360-37999,320-38999,001-99999,,DISEASES AND INJURIES
9928,992,99,87-9999,00-9999,,,PROCEDURES
E9953,E995,E990-E9999,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
E0030,E003,E001-E0309,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
5279,527,520-52999,520-57999,001-99999,,,DISEASES AND INJURIES
7682,768,764-77999,760-77999,001-99999,,,DISEASES AND INJURIES
4281,428,420-42999,390-45999,001-99999,,,DISEASES AND INJURIES
1033,103,10,08-1699,00-9999,,,PROCEDURES
7880,788,780-78999,780-79999,001-99999,,,"SYMPTOMS, SIGNS, AND ILL-DEFINED CONDITIONS"
E8033,E803,E800-E8079,E800-E8489,E000-E9999,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
0209,020,020-02799,001-13999,001-99999,,,DISEASES AND INJURIES
73349,7334,733,730-73999,710-73999,001-99999,,DISEASES AND INJURIES
67402,6740,674,670-67799,630-67999,001-99999,,DISEASES AND INJURIES
83305,8330,833,830-83999,800-99999,001-99999,,DISEASES AND INJURIES
3851,385,38,35-3999,00-9999,,,PROCEDURES
5781,578,57,55-5999,00-9999,,,PROCEDURES
0942,094,090-09999,001-13999,001-99999,,,DISEASES AND INJURIES
1876,187,179-18999,140-23999,001-99999,,,DISEASES AND INJURIES
78063,7806,780,780-78999,780-79999,001-99999,,"SYMPTOMS, SIGNS, AND ILL-DEFINED CONDITIONS"
7254,725,72,72-7599,00-9999,,,PROCEDURES
20206,2020,202,200-20899,140-23999,001-99999,,DISEASES AND INJURIES
52405,5240,524,520-52999,520-57999,001-99999,,DISEASES AND INJURIES
2153,215,210-22999,140-23999,001-99999,,,DISEASES AND INJURIES
37581,3758,375,360-37999,320-38999,001-99999,,DISEASES AND INJURIES
V1059,V105,V10,V10-V1999,V01-V9199,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
64962,6496,649,640-64999,630-67999,001-99999,,DISEASES AND INJURIES
20236,2023,202,200-20899,140-23999,001-99999,,DISEASES AND INJURIES
65151,6515,651,650-65999,630-67999,001-99999,,DISEASES AND INJURIES
40290,4029,402,401-40599,390-45999,001-99999,,DISEASES AND INJURIES
71523,7152,715,710-71999,710-73999,001-99999,,DISEASES AND INJURIES
V776,V77,V70-V8299,V01-V9199,,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
4263,426,420-42999,390-45999,001-99999,,,DISEASES AND INJURIES
75316,7531,753,740-75999,001-99999,,,DISEASES AND INJURIES
75314,7531,753,740-75999,001-99999,,,DISEASES AND INJURIES
64960,6496,649,640-64999,630-67999,001-99999,,DISEASES AND INJURIES
V2641,V264,V26,V20-V2999,V01-V9199,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
2307,230,230-23499,140-23999,001-99999,,,DISEASES AND INJURIES
445,44,42-5499,00-9999,,,,PROCEDURES
29590,2959,295,295-29999,290-29999,290-31999,001-99999,DISEASES AND INJURIES
94329,9432,943,940-94999,800-99999,001-99999,,DISEASES AND INJURIES
80373,8037,803,800-80499,800-82999,800-99999,001-99999,DISEASES AND INJURIES
27419,2741,274,270-27999,240-27999,001-99999,,DISEASES AND INJURIES
63712,6371,637,634-63999,630-67999,001-99999,,DISEASES AND INJURIES
V6222,V622,V62,V60-V6999,V01-V9199,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
75432,7543,754,740-75999,001-99999,,,DISEASES AND INJURIES
7572,757,740-75999,001-99999,,,,DISEASES AND INJURIES
4171,417,415-41799,390-45999,001-99999,,,DISEASES AND INJURIES
7794,779,77,76-8499,00-9999,,,PROCEDURES
71851,7185,718,710-71999,710-73999,001-99999,,DISEASES AND INJURIES
37162,3716,371,360-37999,320-38999,001-99999,,DISEASES AND INJURIES
79099,7909,790,790-79699,780-79999,001-99999,,"SYMPTOMS, SIGNS, AND ILL-DEFINED CONDITIONS"
01223,0122,012,010-01899,001-13999,001-99999,,DISEASES AND INJURIES
94447,9444,944,940-94999,800-99999,001-99999,,DISEASES AND INJURIES
01221,0122,012,010-01899,001-13999,001-99999,,DISEASES AND INJURIES
1173,117,11,08-1699,00-9999,,,PROCEDURES
72981,7298,729,725-72999,710-73999,001-99999,,DISEASES AND INJURIES
36481,3648,364,360-37999,320-38999,001-99999,,DISEASES AND INJURIES
292,29,21-2999,00-9999,,,,PROCEDURES
6018,601,600-60899,580-62999,001-99999,,,DISEASES AND INJURIES
8622,862,86,85-8699,00-9999,,,PROCEDURES
0860,086,080-08899,001-13999,001-99999,,,DISEASES AND INJURIES
5221,522,52,42-5499,00-9999,,,PROCEDURES
61882,6188,618,617-62999,580-62999,001-99999,,DISEASES AND INJURIES
95892,9589,958,958-95999,800-99999,001-99999,,DISEASES AND INJURIES
65673,6567,656,650-65999,630-67999,001-99999,,DISEASES AND INJURIES
28982,2898,289,280-28999,001-99999,,,DISEASES AND INJURIES
8625,862,86,85-8699,00-9999,,,PROCEDURES
4838,483,480-48899,460-51999,001-99999,,,DISEASES AND INJURIES
0863,086,080-08899,001-13999,001-99999,,,DISEASES AND INJURIES
9972,997,99,87-9999,00-9999,,,PROCEDURES
E0299,E029,E001-E0309,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
V5425,V542,V54,V50-V5999,V01-V9199,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
V520,V52,V50-V5999,V01-V9199,,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
62402,6240,624,617-62999,580-62999,001-99999,,DISEASES AND INJURIES
7705,770,764-77999,760-77999,001-99999,,,DISEASES AND INJURIES
3351,335,33,30-3499,00-9999,,,PROCEDURES
29504,2950,295,295-29999,290-29999,290-31999,001-99999,DISEASES AND INJURIES
29502,2950,295,295-29999,290-29999,290-31999,001-99999,DISEASES AND INJURIES
1160,116,11,08-1699,00-9999,,,PROCEDURES
4561,456,45,42-5499,00-9999,,,PROCEDURES
7962,796,79,76-8499,00-9999,,,PROCEDURES
6491,649,64,60-6499,00-9999,,,PROCEDURES
E9581,E958,E950-E9599,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
52540,5254,525,520-52999,520-57999,001-99999,,DISEASES AND INJURIES
99683,9968,996,996-99999,800-99999,001-99999,,DISEASES AND INJURIES
64844,6484,648,640-64999,630-67999,001-99999,,DISEASES AND INJURIES
E8011,E801,E800-E8079,E800-E8489,E000-E9999,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
0795,079,07,06-0799,00-9999,,,PROCEDURES
7679,767,76,76-8499,00-9999,,,PROCEDURES
36062,3606,360,360-37999,320-38999,001-99999,,DISEASES AND INJURIES
55201,5520,552,550-55399,520-57999,001-99999,,DISEASES AND INJURIES
E0092,E009,E001-E0309,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
01745,0174,017,010-01899,001-13999,001-99999,,DISEASES AND INJURIES
E0090,E009,E001-E0309,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
7243,724,720-72499,710-73999,001-99999,,,DISEASES AND INJURIES
71104,7110,711,710-71999,710-73999,001-99999,,DISEASES AND INJURIES
7441,744,740-75999,001-99999,,,,DISEASES AND INJURIES
4198,419,41,40-4199,00-9999,,,PROCEDURES
51284,5128,512,510-51999,460-51999,001-99999,,DISEASES AND INJURIES
8705,870,87,87-9999,00-9999,,,PROCEDURES
24280,2428,242,240-24699,240-27999,001-99999,,DISEASES AND INJURIES
71134,7113,711,710-71999,710-73999,001-99999,,DISEASES AND INJURIES
6941,694,69,65-7199,00-9999,,,PROCEDURES
E8417,E841,E840-E8459,E800-E8489,E000-E9999,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
1129,112,110-11899,001-13999,001-99999,,,DISEASES AND INJURIES
74193,7419,741,740-75999,001-99999,,,DISEASES AND INJURIES
52121,5212,521,520-52999,520-57999,001-99999,,DISEASES AND INJURIES
01565,0156,015,010-01899,001-13999,001-99999,,DISEASES AND INJURIES
01563,0156,015,010-01899,001-13999,001-99999,,DISEASES AND INJURIES
71136,7113,711,710-71999,710-73999,001-99999,,DISEASES AND INJURIES
60782,6078,607,600-60899,580-62999,001-99999,,DISEASES AND INJURIES
V499,V49,V40-V4999,V01-V9199,,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
81417,8141,814,810-81999,800-82999,800-99999,001-99999,DISEASES AND INJURIES
33189,3318,331,330-33799,320-38999,001-99999,,DISEASES AND INJURIES
E9352,E935,E930-E9499,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
7380,738,730-73999,710-73999,001-99999,,,DISEASES AND INJURIES
E9354,E935,E930-E9499,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
7133,713,710-71999,710-73999,001-99999,,,DISEASES AND INJURIES
73606,7360,736,730-73999,710-73999,001-99999,,DISEASES AND INJURIES
542,540-54399,520-57999,001-99999,,,,DISEASES AND INJURIES
71628,7162,716,710-71999,710-73999,001-99999,,DISEASES AND INJURIES
67323,6732,673,670-67799,630-67999,001-99999,,DISEASES AND INJURIES
0798,079,07,06-0799,00-9999,,,PROCEDURES
37104,3710,371,360-37999,320-38999,001-99999,,DISEASES AND INJURIES
3985,398,39,35-3999,00-9999,,,PROCEDURES
56971,5697,569,560-56999,520-57999,001-99999,,DISEASES AND INJURIES
63532,6353,635,634-63999,630-67999,001-99999,,DISEASES AND INJURIES
4417,441,440-44999,390-45999,001-99999,,,DISEASES AND INJURIES
7818,781,780-78999,780-79999,001-99999,,,"SYMPTOMS, SIGNS, AND ILL-DEFINED CONDITIONS"
01146,0114,011,010-01899,001-13999,001-99999,,DISEASES AND INJURIES
3639,363,36,35-3999,00-9999,,,PROCEDURES
73093,7309,730,730-73999,710-73999,001-99999,,DISEASES AND INJURIES
01144,0114,011,010-01899,001-13999,001-99999,,DISEASES AND INJURIES
V276,V27,V20-V2999,V01-V9199,,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
E9939,E993,E990-E9999,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
3599,359,350-35999,320-38999,001-99999,,,DISEASES AND INJURIES
64883,6488,648,640-64999,630-67999,001-99999,,DISEASES AND INJURIES
75239,7523,752,740-75999,001-99999,,,DISEASES AND INJURIES
8389,838,83,76-8499,00-9999,,,PROCEDURES
77010,7701,770,764-77999,760-77999,001-99999,,DISEASES AND INJURIES
71658,7165,716,710-71999,710-73999,001-99999,,DISEASES AND INJURIES
65491,6549,654,650-65999,630-67999,001-99999,,DISEASES AND INJURIES
65493,6549,654,650-65999,630-67999,001-99999,,DISEASES AND INJURIES
69284,6928,692,690-69899,680-70999,001-99999,,DISEASES AND INJURIES
0819,081,080-08899,001-13999,001-99999,,,DISEASES AND INJURIES
9332,933,93,87-9999,00-9999,,,PROCEDURES
6823,682,680-68699,680-70999,001-99999,,,DISEASES AND INJURIES
E8252,E825,E820-E8259,E800-E8489,E000-E9999,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
5069,506,500-50899,460-51999,001-99999,,,DISEASES AND INJURIES
V9109,V910,V91,V91-V9199,V01-V9199,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
83500,8350,835,830-83999,800-99999,001-99999,,DISEASES AND INJURIES
3535,353,350-35999,320-38999,001-99999,,,DISEASES AND INJURIES
64243,6424,642,640-64999,630-67999,001-99999,,DISEASES AND INJURIES
29534,2953,295,295-29999,290-29999,290-31999,001-99999,DISEASES AND INJURIES
V8743,V874,V87,V87-V8799,V01-V9199,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
4061,406,40,40-4199,00-9999,,,PROCEDURES
73007,7300,730,730-73999,710-73999,001-99999,,DISEASES AND INJURIES
E8658,E865,E860-E8699,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
8125,812,81,76-8499,00-9999,,,PROCEDURES
72611,7261,726,725-72999,710-73999,001-99999,,DISEASES AND INJURIES
52461,5246,524,520-52999,520-57999,001-99999,,DISEASES AND INJURIES
71968,7196,719,710-71999,710-73999,001-99999,,DISEASES AND INJURIES
95205,9520,952,950-95799,800-99999,001-99999,,DISEASES AND INJURIES
83906,8390,839,830-83999,800-99999,001-99999,,DISEASES AND INJURIES
37446,3744,374,360-37999,320-38999,001-99999,,DISEASES AND INJURIES
V020,V02,V01-V0699,V01-V9199,,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
E8224,E822,E820-E8259,E800-E8489,E000-E9999,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
73741,7374,737,730-73999,710-73999,001-99999,,DISEASES AND INJURIES
71930,7193,719,710-71999,710-73999,001-99999,,DISEASES AND INJURIES
71594,7159,715,710-71999,710-73999,001-99999,,DISEASES AND INJURIES
83904,8390,839,830-83999,800-99999,001-99999,,DISEASES AND INJURIES
07020,0702,070,070-07999,001-13999,001-99999,,DISEASES AND INJURIES
80630,8063,806,805-80999,800-82999,800-99999,001-99999,DISEASES AND INJURIES
80632,8063,806,805-80999,800-82999,800-99999,001-99999,DISEASES AND INJURIES
2540,254,249-25999,240-27999,001-99999,,,DISEASES AND INJURIES
7626,762,760-76399,760-77999,001-99999,,,DISEASES AND INJURIES
5734,573,57,55-5999,00-9999,,,PROCEDURES
92232,9223,922,920-92499,800-99999,001-99999,,DISEASES AND INJURIES
0752,075,07,06-0799,00-9999,,,PROCEDURES
V441,V44,V40-V4999,V01-V9199,,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
3312,331,330-33799,320-38999,001-99999,,,DISEASES AND INJURIES
9217,921,92,87-9999,00-9999,,,PROCEDURES
0403,040,04,01-0599,00-9999,,,PROCEDURES
3804,380,38,35-3999,00-9999,,,PROCEDURES
9182,918,910-91999,800-99999,001-99999,,,DISEASES AND INJURIES
V8009,V800,V80,V70-V8299,V01-V9199,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
88002,8800,880,880-88799,870-89799,800-99999,001-99999,DISEASES AND INJURIES
0521,052,05,01-0599,00-9999,,,PROCEDURES
V7611,V761,V76,V70-V8299,V01-V9199,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
84211,8421,842,840-84899,800-99999,001-99999,,DISEASES AND INJURIES
32735,3273,327,327-32799,320-38999,001-99999,,DISEASES AND INJURIES
80420,8042,804,800-80499,800-82999,800-99999,001-99999,DISEASES AND INJURIES
5169,516,51,42-5499,00-9999,,,PROCEDURES
8554,855,85,85-8699,00-9999,,,PROCEDURES
